issue_subtype_id,bim360_account_id,bim360_project_id,issue_type_id,issue_subtype,is_active,created_by,created_at,updated_by,updated_at,deleted_by,deleted_at
430c6dba-8630-4aca-a78e-a9a81e687691,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,c1b6a35b-eb84-4dfd-8b9c-6c01f1cbd06c,Design,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
f93a4414-79da-4c49-8876-745ebb4d1dce,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,c1b6a35b-eb84-4dfd-8b9c-6c01f1cbd06c,Requirement Change,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
8e65e216-c8d3-49e5-99cd-185e44699d0a,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,c1b6a35b-eb84-4dfd-8b9c-6c01f1cbd06c,Client Feedback,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
64908634-63d1-496e-95c3-de761ddcf2ba,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,c1b6a35b-eb84-4dfd-8b9c-6c01f1cbd06c,Work to Complete,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
9d37bfff-5556-4a60-b529-cb065de56075,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,c1b6a35b-eb84-4dfd-8b9c-6c01f1cbd06c,Building Code,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
1a806c43-4d33-493f-82b6-e2423907ec18,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,c1b6a35b-eb84-4dfd-8b9c-6c01f1cbd06c,Existing Condition,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
aaf48730-f190-4eb8-a58e-224f660aa258,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,2519af21-9f9e-473f-a2ab-ec75262a98dd,Quality,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
88ed1dc3-c452-4f39-b116-ba530a1e45fb,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,ac18161b-1a70-414d-b75e-fc6097431f01,General,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
b78929e7-da10-4ac3-886b-31b0c40fb6b2,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,a8da993b-4a8f-4fc4-ac93-104bfff673fc,Safety,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
2b7a741f-821a-4fbf-8f02-b2a47d843449,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,a8da993b-4a8f-4fc4-ac93-104bfff673fc,Safety Infraction,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
b7445b28-60bc-41a1-89ff-13d69effdd5b,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,3c0305ef-0b67-49a5-9039-bbb029ad5422,Punch List,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
ecdc472c-3286-4208-b1aa-a911d37c82bc,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,3c0305ef-0b67-49a5-9039-bbb029ad5422,Pre-Punch List,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
693f44b9-7e5d-4a9b-bbd7-22d4d8d88592,1caef42c-9fb7-4e6f-a5d1-cb89e69de6ea,1eea4119-3553-4167-b93d-3a3d5d07d33d,b1b5ddb3-e43f-49a5-842d-58f8b4e61d5d,Commissioning,t,System,2025-10-20 02:32:50.43,System,2025-10-20 02:32:50.43,,
